screen_name,Label,followers_count,friends_count
Ruptly,Ruptly,43383.0,574.0
Solidarity_Now,Solidarity_Now,,
UN,UN,8762493.0,1140.0
UNGeneva,UNGeneva,265563.0,1285.0
UNHCRGreece,UNHCRGreece,8392.0,956.0
UNHCRItalia,UNHCRItalia,,
UNHumanRights,UNHumanRights,1641423.0,1075.0
UN_News_Centre,UN_News_Centre,266360.0,689.0
UNmigration,UNmigration,60757.0,2854.0
UnitedChurchCda,UnitedChurchCda,,
VICE,VICE,1722469.0,11298.0
ajplus,ajplus,540696.0,327.0
amnesty,amnesty,,
antonioguterres,antonioguterres,76421.0,174.0
comuniongracia,comuniongracia,,
dwnews,dwnews,130838.0,784.0
eu_echo,eu_echo,48442.0,3925.0
hrw,hrw,3314017.0,16147.0
melissarfleming,melissarfleming,49661.0,6450.0
refugee_review,refugee_review,,
refugeecouncil,refugeecouncil,,
refugeesdeeply,refugeesdeeply,5789.0,2434.0
salvationarmy,salvationarmy,62257.0,12816.0
sol2refugees,sol2refugees,3090.0,2860.0
theIRC,theIRC,349639.0,2511.0
vice_gr,vice_gr,,
vicenews,vicenews,779661.0,550.0
UKinSomalia,UKinSomalia,82606.0,901.0
SuicidalSoviet,SuicidalSoviet,165.0,270.0
LBC,LBC,,
TheBigBrunowski,TheBigBrunowski,,
capt_amarinder,capt_amarinder,,
fgeerdink,fgeerdink,43302.0,1965.0
antifasRus,antifasRus,55.0,84.0
scedmonds,scedmonds,,
russilwvong,russilwvong,,
jasminecrowe,jasminecrowe,3203.0,930.0
Northeastern,Northeastern,,
guardian,guardian,6439518.0,1112.0
heisey_lisa,heisey_lisa,13097.0,14130.0
CENTCOM,CENTCOM,,
fuchspanda,fuchspanda,184.0,256.0
RBX_Coeptus,RBX_Coeptus,,
GeorgeWachira4,GeorgeWachira4,,
RasMotep,RasMotep,438.0,0.0
KatRamsland,KatRamsland,,
MdM_France,MdM_France,76128.0,4720.0
Wine_Honey1,Wine_Honey1,24891.0,19144.0
mrsgreeeen,mrsgreeeen,2986.0,1101.0
realDonaldTrump,realDonaldTrump,,
VaselinePH,VaselinePH,,
Jeezy,Jeezy,,
ADM_De_Ruyter,ADM_De_Ruyter,252.0,232.0
guessi2015,guessi2015,,
BlackSabbath,BlackSabbath,,
DashtoKrap,DashtoKrap,142.0,270.0
darkfortressrad,darkfortressrad,5569.0,2971.0
eurorabbit,eurorabbit,,
kruemelkeksi,kruemelkeksi,215.0,326.0
mohammedhanif,mohammedhanif,243721.0,258.0
LNDtoes,LNDtoes,,
JustinTrudeau,JustinTrudeau,,
leahmcelrath,leahmcelrath,,
TilleyEdward,TilleyEdward,80.0,166.0
SpeakerRyan,SpeakerRyan,,
cvshabab,cvshabab,,
WeldJd,WeldJd,294.0,1554.0
PiperHa58802383,PiperHa58802383,,
lottielas,lottielas,,
Games4Kickz,Games4Kickz,,
KlausMa49284838,KlausMa49284838,128.0,166.0
JodyCoyote12,JodyCoyote12,,
CPFC,CPFC,,
ADMKurtWTidd,ADMKurtWTidd,,
CMUttamPradesh,CMUttamPradesh,,
KathradaFound,KathradaFound,10176.0,1404.0
SteinertInes,SteinertInes,1.0,30.0
ColliderVideo,ColliderVideo,,
cridheone,cridheone,12107.0,6511.0
